starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	0	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	1	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	1	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	1	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	1	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	1	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	1	0
Sat Mar 07 22:45:49 2020	1583617549	0	0	1	0
Sat Mar 07 22:45:50 2020	1583617550	0	0	1	0
Sat Mar 07 22:45:50 2020	1583617550	0	250	250	250
Sat Mar 07 22:45:49 2020	1583617549	0	250	250	250
Sat Mar 07 22:45:50 2020	1583617550	0	250	250	250
Sat Mar 07 22:45:49 2020	1583617549	0	250	251	250
Sat Mar 07 22:45:49 2020	1583617549	0	252	252	252
Sat Mar 07 22:45:50 2020	1583617550	0	252	252	252
Sat Mar 07 22:45:50 2020	1583617550	0	252	252	252
Sat Mar 07 22:45:49 2020	1583617549	0	252	253	252
Sat Mar 07 22:45:49 2020	1583617549	0	253	253	253
Sat Mar 07 22:45:49 2020	1583617549	0	253	253	253
Sat Mar 07 22:45:50 2020	1583617550	0	254	254	254
Sat Mar 07 22:45:50 2020	1583617550	0	254	254	254
Sat Mar 07 22:45:50 2020	1583617550	0	255	255	255
Sat Mar 07 22:45:50 2020	1583617550	0	450	450	450
Sat Mar 07 22:45:50 2020	1583617550	0	450	450	450
Sat Mar 07 22:45:50 2020	1583617550	0	451	451	451
Sat Mar 07 22:45:49 2020	1583617549	0	452	452	452
Sat Mar 07 22:45:49 2020	1583617549	0	452	452	452
Sat Mar 07 22:45:50 2020	1583617550	0	453	453	453
Sat Mar 07 22:45:49 2020	1583617549	0	454	454	454
Sat Mar 07 22:45:49 2020	1583617549	0	454	454	454
Sat Mar 07 22:45:50 2020	1583617550	0	703	703	703
