starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 07 22:45:57 2020	1583617557	0	0	0	0
Sat Mar 07 22:45:58 2020	1583617558	0	0	1	0
Sat Mar 07 22:45:52 2020	1583617552	0	0	1	0
Sat Mar 07 22:45:56 2020	1583617556	0	0	1	0
Sat Mar 07 22:45:52 2020	1583617552	0	0	1	0
Sat Mar 07 22:45:52 2020	1583617552	0	1	1	0
Sat Mar 07 22:45:52 2020	1583617552	0	1	1	0
Sat Mar 07 22:45:52 2020	1583617552	0	1	1	0
Sat Mar 07 22:45:54 2020	1583617554	0	1	1	0
Sat Mar 07 22:45:54 2020	1583617554	0	1	1	0
Sat Mar 07 22:45:56 2020	1583617556	0	1	1	0
Sat Mar 07 22:45:54 2020	1583617554	0	1	1	0
Sat Mar 07 22:45:54 2020	1583617554	0	1	1	0
Sat Mar 07 22:45:54 2020	1583617554	0	1	1	1
Sat Mar 07 22:45:51 2020	1583617551	1	1	2	1
Sat Mar 07 22:45:57 2020	1583617557	0	249	250	0
Sat Mar 07 22:45:57 2020	1583617557	0	249	250	0
Sat Mar 07 22:45:57 2020	1583617557	0	250	250	0
Sat Mar 07 22:45:57 2020	1583617557	0	250	250	249
Sat Mar 07 22:45:56 2020	1583617556	0	250	250	0
Sat Mar 07 22:45:56 2020	1583617556	0	250	250	250
Sat Mar 07 22:45:56 2020	1583617556	0	250	250	249
Sat Mar 07 22:45:56 2020	1583617556	0	250	250	0
Sat Mar 07 22:45:56 2020	1583617556	0	250	250	249
Sat Mar 07 22:45:55 2020	1583617555	0	250	250	250
Sat Mar 07 22:45:55 2020	1583617555	0	250	250	250
Sat Mar 07 22:45:53 2020	1583617553	0	250	250	250
Sat Mar 07 22:45:55 2020	1583617555	0	250	250	250
Sat Mar 07 22:45:53 2020	1583617553	0	250	250	250
Sat Mar 07 22:45:55 2020	1583617555	0	250	250	250
Sat Mar 07 22:45:55 2020	1583617555	0	250	250	250
Sat Mar 07 22:45:57 2020	1583617557	0	250	250	250
Sat Mar 07 22:45:57 2020	1583617557	0	250	250	250
Sat Mar 07 22:45:58 2020	1583617558	0	250	251	250
Sat Mar 07 22:45:51 2020	1583617551	0	250	251	0
Sat Mar 07 22:45:51 2020	1583617551	0	250	251	250
Sat Mar 07 22:45:51 2020	1583617551	0	251	251	250
Sat Mar 07 22:45:51 2020	1583617551	0	250	251	250
Sat Mar 07 22:45:51 2020	1583617551	0	250	251	250
Sat Mar 07 22:45:58 2020	1583617558	0	250	251	250
Sat Mar 07 22:45:55 2020	1583617555	0	251	251	0
Sat Mar 07 22:45:55 2020	1583617555	0	251	251	0
Sat Mar 07 22:45:58 2020	1583617558	0	251	251	250
Sat Mar 07 22:45:58 2020	1583617558	0	251	251	250
Sat Mar 07 22:45:55 2020	1583617555	0	251	251	250
Sat Mar 07 22:45:55 2020	1583617555	0	250	251	0
Sat Mar 07 22:45:58 2020	1583617558	0	251	251	250
Sat Mar 07 22:45:55 2020	1583617555	0	251	251	250
Sat Mar 07 22:45:54 2020	1583617554	0	250	251	0
Sat Mar 07 22:45:54 2020	1583617554	0	251	251	250
Sat Mar 07 22:45:54 2020	1583617554	0	251	251	0
Sat Mar 07 22:45:52 2020	1583617552	0	251	251	250
Sat Mar 07 22:45:54 2020	1583617554	0	251	251	0
Sat Mar 07 22:45:54 2020	1583617554	0	251	251	0
Sat Mar 07 22:45:52 2020	1583617552	0	251	251	251
Sat Mar 07 22:45:52 2020	1583617552	0	251	251	251
Sat Mar 07 22:45:52 2020	1583617552	0	251	251	251
Sat Mar 07 22:45:52 2020	1583617552	0	251	251	251
Sat Mar 07 22:45:58 2020	1583617558	0	450	450	450
Sat Mar 07 22:45:58 2020	1583617558	0	450	450	449
Sat Mar 07 22:45:57 2020	1583617557	0	450	450	449
Sat Mar 07 22:45:57 2020	1583617557	0	450	450	0
Sat Mar 07 22:45:55 2020	1583617555	0	450	450	0
Sat Mar 07 22:45:55 2020	1583617555	0	450	450	450
Sat Mar 07 22:45:55 2020	1583617555	0	450	450	450
Sat Mar 07 22:45:55 2020	1583617555	0	450	450	450
Sat Mar 07 22:45:55 2020	1583617555	0	450	450	450
Sat Mar 07 22:45:58 2020	1583617558	0	450	450	450
Sat Mar 07 22:45:58 2020	1583617558	0	450	450	450
Sat Mar 07 22:45:58 2020	1583617558	0	450	450	450
Sat Mar 07 22:45:58 2020	1583617558	0	450	450	450
Sat Mar 07 22:45:52 2020	1583617552	0	452	452	451
Sat Mar 07 22:45:52 2020	1583617552	0	452	452	450
Sat Mar 07 22:45:57 2020	1583617557	0	699	700	699
Sat Mar 07 22:45:56 2020	1583617556	0	700	700	700
Sat Mar 07 22:45:57 2020	1583617557	0	700	700	450
Sat Mar 07 22:45:57 2020	1583617557	0	700	700	450
Sat Mar 07 22:45:57 2020	1583617557	0	700	700	699
Sat Mar 07 22:45:53 2020	1583617553	0	700	700	700
Sat Mar 07 22:45:53 2020	1583617553	0	700	701	0
Sat Mar 07 22:45:53 2020	1583617553	0	700	701	251
Sat Mar 07 22:45:53 2020	1583617553	0	700	701	250
Sat Mar 07 22:45:53 2020	1583617553	0	700	701	0
Sat Mar 07 22:45:56 2020	1583617556	0	701	701	700
Sat Mar 07 22:45:54 2020	1583617554	0	700	701	700
Sat Mar 07 22:45:51 2020	1583617551	0	701	701	0
Sat Mar 07 22:45:51 2020	1583617551	0	701	701	700
Sat Mar 07 22:45:51 2020	1583617551	0	700	701	0
Sat Mar 07 22:45:51 2020	1583617551	0	701	701	250
Sat Mar 07 22:45:51 2020	1583617551	0	701	701	0
Sat Mar 07 22:45:54 2020	1583617554	0	701	701	700
Sat Mar 07 22:45:54 2020	1583617554	0	701	701	700
Sat Mar 07 22:45:54 2020	1583617554	0	700	701	700
Sat Mar 07 22:45:56 2020	1583617556	0	701	701	700
Sat Mar 07 22:45:56 2020	1583617556	0	701	701	700
Sat Mar 07 22:45:56 2020	1583617556	0	701	701	700
Sat Mar 07 22:45:54 2020	1583617554	1	700	701	450
Sat Mar 07 22:45:52 2020	1583617552	0	701	701	701
